,Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
313,314,20,RL,150.0,215245,IR3,Low,Inside,Sev,Norm,Norm,1Fam,1Story,7,5,1965,1965,Hip,CompShg,BrkFace,None,0.0,3,3,CBlock,4,3,Gd,ALQ,1236,Rec,820,80,2136,GasW,3,SBrkr,2036,0,0,2036,2,0,2,0,3,1,3,8,Typ,2,4,Attchd,1965.0,RFn,2,513,3,3,Y,0,0,0,0,0,0,0,6,2009,WD,Normal,375000
314,315,70,RM,60.0,9600,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,2Story,7,7,1925,1990,Gable,CompShg,Wd Sdng,None,0.0,3,3,BrkTil,3,4,No,LwQ,16,Unf,0,712,728,GasA,5,SBrkr,832,809,0,1641,0,1,1,1,3,1,5,6,Typ,1,4,Detchd,1925.0,Unf,2,546,2,3,Y,0,0,234,0,0,0,0,8,2006,WD,Normal,178000
315,316,60,RL,71.0,7795,IR1,Lvl,Inside,Gtl,Norm,Norm,1Fam,2Story,7,5,2004,2005,Gable,CompShg,VinylSd,None,0.0,4,3,PConc,4,3,No,GLQ,425,Unf,0,291,716,GasA,5,SBrkr,716,716,0,1432,1,0,2,1,3,1,4,6,Typ,1,4,Attchd,2004.0,Fin,2,432,3,3,Y,100,51,0,0,0,0,0,7,2009,WD,Normal,188500
316,317,60,RL,94.0,13005,IR1,Lvl,Corner,Gtl,Norm,Norm,1Fam,2Story,7,7,1980,1980,Gable,CompShg,CemntBd,BrkFace,278.0,4,3,CBlock,4,3,No,GLQ,692,Unf,0,153,845,GasA,3,SBrkr,1153,1200,0,2353,1,0,2,1,4,1,5,10,Typ,1,3,Attchd,1983.0,RFn,2,484,3,3,Y,288,195,0,0,0,0,0,8,2009,WD,Normal,260000
317,318,60,FV,75.0,9000,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,2Story,8,5,2006,2006,Gable,CompShg,VinylSd,None,0.0,4,3,PConc,4,3,Av,Unf,0,Unf,0,1088,1088,GasA,5,SBrkr,1088,871,0,1959,0,0,2,1,3,1,4,8,Typ,1,4,Attchd,2006.0,RFn,3,1025,3,3,Y,208,46,0,0,0,0,0,12,2007,WD,Normal,270000
318,319,60,RL,90.0,9900,Reg,Low,Inside,Mod,Norm,Norm,1Fam,2Story,7,5,1993,1993,Gable,CompShg,HdBoard,BrkFace,256.0,4,3,PConc,4,3,Gd,GLQ,987,Unf,0,360,1347,GasA,5,SBrkr,1372,1274,0,2646,1,0,2,1,4,1,4,9,Typ,1,3,Attchd,1993.0,RFn,3,656,3,3,Y,340,60,144,0,0,0,0,4,2009,WD,Normal,260000
319,320,80,RL,,14115,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,SLvl,7,5,1980,1980,Gable,CompShg,Plywood,BrkFace,225.0,3,3,CBlock,4,3,Av,GLQ,1036,Unf,0,336,1372,GasA,3,SBrkr,1472,0,0,1472,1,0,2,0,3,1,3,6,Typ,2,3,Attchd,1980.0,Unf,2,588,3,3,Y,233,48,0,0,0,0,0,6,2009,WD,Normal,187500
320,321,60,RL,111.0,16259,Reg,Lvl,Corner,Gtl,Norm,Norm,1Fam,2Story,9,5,2006,2006,Gable,CompShg,VinylSd,Stone,370.0,3,3,PConc,5,4,Av,Unf,0,Unf,0,1249,1249,GasA,5,SBrkr,1249,1347,0,2596,0,0,3,1,4,1,4,9,Typ,0,0,Attchd,2006.0,RFn,3,840,3,3,Y,240,154,0,0,0,0,0,9,2006,New,Partial,342643
321,322,60,RL,99.0,12099,IR1,Lvl,Inside,Gtl,Norm,Norm,1Fam,2Story,8,5,2004,2004,Gable,CompShg,VinylSd,BrkFace,388.0,4,3,PConc,5,3,Av,GLQ,970,Unf,0,166,1136,GasA,5,SBrkr,1136,1332,0,2468,1,0,2,1,4,1,4,10,Typ,1,4,BuiltIn,2004.0,Fin,3,872,3,3,Y,184,154,0,0,0,0,0,6,2007,WD,Normal,354000
322,323,60,RL,86.0,10380,IR1,Lvl,Inside,Gtl,Norm,Norm,1Fam,2Story,7,5,1986,1987,Gable,CompShg,Plywood,BrkFace,172.0,4,3,CBlock,3,3,Gd,LwQ,28,ALQ,1474,0,1502,GasA,5,SBrkr,1553,1177,0,2730,1,0,2,1,4,1,4,8,Typ,1,3,Attchd,1987.0,Fin,2,576,3,3,Y,201,96,0,0,0,0,0,8,2007,WD,Normal,301000
323,324,20,RM,49.0,5820,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,3,8,1955,2005,Gable,CompShg,VinylSd,None,0.0,3,4,CBlock,3,3,No,ALQ,256,Unf,0,906,1162,GasA,5,SBrkr,1163,0,0,1163,1,0,1,0,3,1,3,6,Typ,0,0,Attchd,1955.0,Unf,1,220,2,3,Y,142,98,0,0,0,0,0,7,2006,WD,Normal,126175
324,325,80,RL,96.0,11275,Reg,Lvl,Corner,Gtl,PosN,Norm,1Fam,SLvl,7,7,1967,2007,Mansard,WdShake,Wd Sdng,BrkFace,300.0,4,4,CBlock,4,3,No,Unf,0,Unf,0,710,710,GasA,5,SBrkr,1898,1080,0,2978,0,0,2,1,5,1,4,11,Typ,1,4,BuiltIn,1961.0,Fin,2,564,3,3,Y,240,0,0,0,0,0,0,6,2010,WD,Normal,242000
325,326,45,RM,50.0,5000,Reg,Lvl,Inside,Gtl,RRAe,Norm,1Fam,1.5Unf,5,6,1941,1950,Gable,CompShg,MetalSd,None,0.0,3,3,CBlock,3,3,Av,BLQ,116,Unf,0,604,720,GasA,1,FuseF,803,0,0,803,0,0,1,0,2,1,3,5,Typ,0,0,Detchd,1941.0,Unf,2,360,3,3,Y,0,0,244,0,0,0,0,12,2007,WD,Normal,87000
326,327,120,RL,32.0,10846,IR1,Lvl,CulDSac,Gtl,Norm,Norm,TwnhsE,1Story,8,5,1993,1993,Gable,CompShg,BrkFace,None,0.0,4,3,PConc,4,3,Gd,GLQ,1619,Unf,0,100,1719,GasA,5,SBrkr,1719,0,0,1719,2,0,1,1,1,1,4,6,Typ,2,4,Attchd,1993.0,Fin,2,473,3,3,Y,122,30,0,0,0,0,0,5,2008,Con,Normal,324000
327,328,20,RL,80.0,11600,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,Wd Sdng,BrkFace,175.0,3,3,CBlock,3,3,No,Rec,565,Unf,0,818,1383,GasA,3,SBrkr,1383,0,0,1383,0,0,1,1,3,1,3,7,Typ,0,0,Attchd,1960.0,RFn,1,292,3,3,Y,0,45,0,0,0,0,0,4,2006,WD,Normal,145250
328,329,75,RL,,11888,IR1,Bnk,Inside,Gtl,PosN,Norm,1Fam,2.5Unf,6,6,1916,1994,Gable,CompShg,Wd Sdng,None,0.0,3,3,BrkTil,3,3,No,Unf,0,Unf,0,844,844,GasA,4,FuseA,1445,689,0,2134,0,0,2,0,5,1,4,10,Typ,0,0,Detchd,1930.0,Unf,2,441,3,3,Y,0,60,268,0,0,0,0,7,2009,WD,Normal,214500
329,330,70,RM,60.0,6402,Reg,Lvl,Corner,Gtl,Norm,Norm,1Fam,2Story,5,5,1920,1950,Gable,CompShg,Wd Sdng,None,0.0,3,3,PConc,3,3,Mn,Unf,0,Unf,0,596,596,GasA,3,SBrkr,596,596,0,1192,0,0,1,0,3,1,3,6,Typ,0,0,Detchd,1920.0,Unf,1,189,2,2,N,0,0,137,0,0,0,0,7,2009,WD,Normal,78000
330,331,90,RL,,10624,IR1,Lvl,Inside,Gtl,Norm,Norm,Duplex,1Story,5,4,1964,1964,Gable,CompShg,HdBoard,BrkFace,84.0,3,3,CBlock,3,3,No,GLQ,40,Rec,264,1424,1728,GasA,3,SBrkr,1728,0,0,1728,0,1,2,0,6,2,3,10,Typ,0,0,Detchd,2002.0,Unf,1,352,3,3,Y,155,0,0,0,0,0,0,11,2007,WD,Normal,119000
331,332,20,RL,70.0,8176,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,1958,1992,Gable,CompShg,Wd Sdng,None,0.0,3,3,CBlock,3,3,No,Rec,846,Unf,0,210,1056,GasA,2,SBrkr,1056,0,0,1056,1,0,1,0,3,1,3,6,Typ,0,0,Attchd,1958.0,RFn,1,308,3,3,Y,0,0,0,0,0,0,0,8,2007,WD,Normal,139000
332,333,20,RL,85.0,10655,IR1,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,8,5,2003,2004,Gable,CompShg,VinylSd,BrkFace,296.0,4,3,PConc,4,3,No,GLQ,1124,NA,479,1603,3206,GasA,5,SBrkr,1629,0,0,1629,1,0,2,0,3,1,4,7,Typ,1,4,Attchd,2003.0,RFn,3,880,3,3,Y,0,0,0,0,0,0,0,10,2009,WD,Normal,284000
333,334,120,RM,59.0,8198,Reg,Lvl,FR3,Gtl,Norm,Norm,TwnhsE,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,Stone,146.0,4,3,PConc,4,3,Av,GLQ,720,Unf,0,638,1358,GasA,5,SBrkr,1358,0,0,1358,1,0,2,0,2,1,4,6,Typ,1,4,Attchd,2004.0,RFn,2,484,3,3,Y,192,30,0,0,0,0,0,7,2008,WD,Normal,207000
334,335,60,RL,59.0,9042,IR1,Lvl,Inside,Gtl,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,None,0.0,3,3,PConc,4,3,Gd,GLQ,828,Unf,0,115,943,GasA,4,SBrkr,943,695,0,1638,1,0,2,1,3,1,3,7,Typ,2,3,Attchd,1998.0,Fin,2,472,3,3,Y,100,38,0,0,0,0,0,7,2008,WD,Normal,192000
335,336,190,RL,,164660,IR1,HLS,Corner,Sev,Norm,Norm,2fmCon,1.5Fin,5,6,1965,1965,Gable,CompShg,Plywood,None,0.0,3,3,CBlock,3,3,Gd,ALQ,1249,BLQ,147,103,1499,GasA,5,SBrkr,1619,167,0,1786,2,0,2,0,3,1,3,7,Typ,2,4,Attchd,1965.0,Fin,2,529,3,3,Y,670,0,0,0,0,0,700,8,2008,WD,Normal,228950
336,337,20,RL,86.0,14157,IR1,HLS,Corner,Gtl,Norm,Norm,1Fam,1Story,9,5,2005,2006,Hip,CompShg,VinylSd,Stone,200.0,4,3,PConc,5,3,Gd,GLQ,1249,Unf,0,673,1922,GasA,5,SBrkr,1922,0,0,1922,1,0,2,0,3,1,4,8,Typ,1,4,Attchd,2005.0,Fin,3,676,3,3,Y,178,51,0,0,0,0,0,7,2007,WD,Normal,377426
337,338,20,RL,70.0,9135,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,BrkFace,113.0,4,3,PConc,4,3,Av,GLQ,810,Unf,0,726,1536,GasA,5,SBrkr,1536,0,0,1536,1,0,2,0,3,1,4,7,Typ,0,0,Attchd,2002.0,RFn,2,532,3,3,Y,192,74,0,0,0,0,0,12,2008,WD,Normal,214000
338,339,20,RL,91.0,14145,Reg,Lvl,Corner,Gtl,Norm,Norm,1Fam,1Story,7,7,1984,1998,Gable,CompShg,Wd Sdng,None,0.0,4,3,CBlock,4,3,Mn,ALQ,213,Unf,0,995,1208,GasA,5,SBrkr,1621,0,0,1621,1,0,2,0,3,1,4,8,Typ,0,0,Attchd,1984.0,RFn,2,440,3,3,Y,108,45,0,0,0,0,400,5,2006,WD,Normal,202500
339,340,20,RL,66.0,12400,IR1,Lvl,Inside,Gtl,Feedr,Norm,1Fam,1Story,6,7,1958,1998,Hip,CompShg,Wd Sdng,BrkFace,176.0,3,3,CBlock,3,2,No,Rec,585,Unf,0,630,1215,GasA,3,FuseA,1215,0,0,1215,0,0,1,0,3,1,3,6,Typ,0,0,Attchd,1958.0,Unf,1,297,3,3,Y,0,0,0,0,234,0,0,6,2009,WD,Normal,155000
340,341,60,RL,85.0,14191,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,None,0.0,4,3,PConc,4,3,No,Unf,0,Unf,0,967,967,GasA,5,SBrkr,993,915,0,1908,0,0,2,1,4,1,4,9,Typ,0,0,Attchd,2002.0,Fin,2,431,3,3,Y,135,0,0,0,0,0,0,4,2010,WD,Normal,202900
341,342,20,RH,60.0,8400,Reg,Lvl,Inside,Gtl,Feedr,Norm,1Fam,1Story,4,4,1950,1950,Gable,CompShg,Wd Sdng,None,0.0,2,2,CBlock,3,2,No,Unf,0,Unf,0,721,721,GasA,4,SBrkr,841,0,0,841,0,0,1,0,2,1,3,4,Typ,0,0,CarPort,1950.0,Unf,1,294,3,3,N,250,0,24,0,0,0,0,9,2009,WD,Normal,82000
342,343,90,RL,,8544,Reg,Lvl,Inside,Gtl,Norm,Norm,Duplex,1Story,3,4,1949,1950,Gable,CompShg,Stucco,BrkFace,340.0,3,3,Slab,0,0,NA,NA,0,NA,0,0,0,Wall,2,FuseA,1040,0,0,1040,0,0,2,0,2,2,3,6,Typ,0,0,Detchd,1949.0,Unf,2,400,3,3,Y,0,0,0,0,0,0,0,5,2006,WD,Normal,87500
343,344,120,RL,63.0,8849,IR1,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,BrkFace,616.0,5,3,PConc,5,3,No,GLQ,28,Unf,0,1656,1684,GasA,5,SBrkr,1684,0,0,1684,0,0,2,0,2,1,5,6,Typ,1,5,Attchd,2005.0,RFn,2,564,3,3,Y,495,72,0,0,0,0,0,7,2008,WD,Normal,266000
344,345,160,RM,36.0,2592,Reg,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,2Story,5,3,1976,1976,Gable,CompShg,CemntBd,None,0.0,3,3,CBlock,4,3,No,Rec,129,BLQ,232,175,536,GasA,3,SBrkr,536,576,0,1112,0,0,1,1,3,1,3,4,Typ,0,0,Attchd,1976.0,Unf,1,336,3,3,Y,182,0,0,0,0,0,0,4,2010,WD,Normal,85000
345,346,50,RL,65.0,6435,Reg,Lvl,Inside,Gtl,RRAn,Norm,1Fam,1.5Fin,6,5,1939,1950,Gable,CompShg,MetalSd,None,0.0,3,3,BrkTil,3,3,No,Unf,0,Unf,0,972,972,GasA,4,SBrkr,972,605,0,1577,0,0,1,0,3,1,2,6,Typ,1,4,Detchd,1939.0,Unf,1,312,3,3,Y,0,0,0,0,0,0,0,10,2006,WD,Normal,140200
346,347,20,RL,,12772,IR1,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,1Story,6,8,1960,1998,Hip,CompShg,MetalSd,None,0.0,3,4,CBlock,3,3,Mn,BLQ,498,Unf,0,460,958,GasA,3,SBrkr,958,0,0,958,0,0,1,0,2,1,3,5,Typ,0,0,Attchd,1960.0,RFn,1,301,3,3,Y,0,0,0,0,0,0,15500,4,2007,WD,Normal,151500
347,348,20,RL,,17600,IR1,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,6,5,1960,1960,Gable,CompShg,Wd Sdng,BrkFace,30.0,3,3,CBlock,3,3,No,BLQ,1270,Unf,0,208,1478,GasA,5,FuseA,1478,0,0,1478,1,0,2,0,3,1,3,6,Typ,2,4,Attchd,1960.0,Unf,2,498,3,3,Y,0,40,0,0,0,0,0,12,2009,WD,Normal,157500
348,349,160,RL,36.0,2448,Reg,Lvl,Inside,Gtl,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Stone,106.0,4,3,PConc,4,3,No,GLQ,573,Unf,0,191,764,GasA,5,SBrkr,764,862,0,1626,1,0,2,1,2,1,4,6,Typ,0,0,BuiltIn,2003.0,RFn,2,474,3,3,Y,0,27,0,0,0,0,0,10,2008,WD,Normal,154000
349,350,60,RL,56.0,20431,IR2,Lvl,Inside,Gtl,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,CemntBd,BrkFace,870.0,5,3,PConc,5,3,No,GLQ,1410,Unf,0,438,1848,GasA,5,SBrkr,1848,880,0,2728,1,0,2,1,4,1,5,10,Typ,2,5,Attchd,2006.0,Fin,3,706,3,3,Y,0,0,0,0,0,0,0,4,2006,New,Partial,437154
350,351,120,RL,68.0,7820,IR1,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,1Story,9,5,2007,2007,Hip,CompShg,MetalSd,BrkFace,362.0,5,3,PConc,5,3,No,Unf,0,Unf,0,1869,1869,GasA,5,SBrkr,1869,0,0,1869,0,0,2,0,2,1,5,6,Typ,1,4,Attchd,2007.0,RFn,2,617,3,3,Y,210,54,0,0,0,0,0,12,2007,New,Partial,318061
351,352,120,RL,,5271,IR1,Low,Inside,Mod,Norm,Norm,1Fam,1Story,7,5,1986,1986,Gable,CompShg,Wd Sdng,None,0.0,3,3,PConc,4,3,Gd,GLQ,1082,Unf,0,371,1453,GasA,4,SBrkr,1453,0,0,1453,1,0,1,1,2,1,4,6,Typ,1,3,Attchd,1986.0,RFn,2,445,3,3,Y,0,80,0,0,184,0,0,12,2006,WD,Abnorml,190000
352,353,50,RL,60.0,9084,Reg,Lvl,Inside,Gtl,Artery,Norm,1Fam,1.5Fin,5,6,1941,1950,Gable,CompShg,VinylSd,None,0.0,3,3,CBlock,3,2,Mn,LwQ,236,Rec,380,0,616,GasA,3,SBrkr,616,495,0,1111,0,1,1,0,3,1,3,5,Typ,0,0,Detchd,1941.0,Unf,1,200,3,2,Y,48,0,0,0,0,0,0,3,2008,ConLw,Normal,95000
353,354,30,RM,60.0,8520,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,6,8,1928,2003,Gable,CompShg,VinylSd,None,0.0,3,4,BrkTil,3,3,No,Unf,0,Unf,0,624,624,GasA,4,SBrkr,720,0,0,720,0,0,1,0,2,1,3,5,Typ,0,0,Detchd,2005.0,Unf,2,484,3,3,Y,106,0,0,0,0,0,0,5,2010,WD,Normal,105900
354,355,50,RL,60.0,8400,Reg,Bnk,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,6,5,1940,2000,Gable,CompShg,Wd Sdng,None,0.0,3,3,CBlock,3,3,No,LwQ,388,Unf,0,552,940,GasA,5,SBrkr,1192,403,0,1595,0,0,1,0,2,1,3,6,Typ,2,4,Attchd,1940.0,Unf,1,240,3,3,Y,0,0,108,0,0,0,0,6,2006,WD,Normal,140000
355,356,20,RL,105.0,11249,IR2,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,6,5,1995,1995,Gable,CompShg,VinylSd,None,0.0,4,4,PConc,4,4,No,ALQ,334,BLQ,544,322,1200,GasA,5,SBrkr,1200,0,0,1200,1,0,2,0,3,1,4,6,Typ,0,0,Attchd,1995.0,RFn,2,521,3,3,Y,0,26,0,0,0,0,0,8,2007,WD,Normal,177500
356,357,20,RL,,9248,IR1,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,6,6,1992,1992,Gable,CompShg,HdBoard,BrkFace,106.0,3,3,PConc,4,3,No,GLQ,560,Unf,0,598,1158,GasA,4,SBrkr,1167,0,0,1167,1,0,2,0,3,1,4,6,Typ,0,0,Attchd,1992.0,RFn,2,400,3,3,Y,120,26,0,0,0,0,0,7,2009,WD,Normal,173000
357,358,120,RM,44.0,4224,Reg,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,1Story,5,5,1976,1976,Gable,CompShg,CemntBd,None,0.0,3,3,PConc,4,3,No,ALQ,874,Unf,0,268,1142,GasA,3,SBrkr,1142,0,0,1142,1,0,1,1,3,1,3,6,Typ,1,1,Attchd,1976.0,Fin,2,528,3,3,Y,536,90,0,0,0,0,0,8,2007,WD,Normal,134000
358,359,80,RL,92.0,6930,IR1,Lvl,Inside,Gtl,Norm,Norm,1Fam,SLvl,5,4,1958,1958,Hip,CompShg,Wd Sdng,BrkFace,120.0,3,3,CBlock,3,3,Av,BLQ,300,Rec,294,468,1062,GasA,5,FuseF,1352,0,0,1352,0,1,1,0,3,1,4,6,Min2,0,0,BuiltIn,1958.0,Unf,1,288,3,3,Y,168,0,294,0,0,0,0,7,2006,WD,Abnorml,130000
359,360,60,RL,78.0,12011,IR1,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,2Story,8,5,1998,1998,Gable,CompShg,VinylSd,BrkFace,530.0,4,3,PConc,4,3,Av,GLQ,956,Unf,0,130,1086,GasA,5,SBrkr,1086,838,0,1924,1,0,2,1,3,1,4,7,Typ,1,3,Attchd,1998.0,RFn,2,592,3,3,Y,208,75,0,0,374,0,0,6,2006,WD,Normal,280000
360,361,85,RL,,7540,IR1,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,SFoyer,6,6,1978,1978,Gable,CompShg,VinylSd,None,0.0,3,3,CBlock,4,3,Av,GLQ,773,Unf,0,115,888,GasA,5,SBrkr,912,0,0,912,1,0,1,0,2,1,3,5,Typ,1,3,Attchd,1978.0,RFn,2,470,3,3,Y,0,0,0,0,192,0,0,6,2007,WD,Normal,156000
361,362,50,RL,,9144,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,5,5,1940,1982,Gable,CompShg,MetalSd,None,0.0,3,3,CBlock,3,3,No,Rec,399,Unf,0,484,883,GasA,4,SBrkr,988,517,0,1505,1,0,1,0,3,1,3,8,Typ,0,0,Detchd,1940.0,Unf,1,240,3,3,N,0,0,0,0,0,0,0,7,2008,WD,Normal,145000
362,363,85,RL,64.0,7301,Reg,Lvl,Corner,Gtl,Norm,Norm,1Fam,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,BrkFace,500.0,4,3,Slab,0,0,NA,NA,0,NA,0,0,0,GasA,5,SBrkr,495,1427,0,1922,0,0,3,0,4,1,4,7,Typ,1,5,BuiltIn,2003.0,RFn,2,672,3,3,Y,0,0,177,0,0,0,0,7,2009,ConLD,Normal,198500
363,364,160,RM,21.0,1680,Reg,Lvl,Inside,Gtl,Norm,Norm,Twnhs,2Story,6,8,1972,2007,Gable,CompShg,HdBoard,BrkFace,510.0,3,3,CBlock,3,3,No,ALQ,162,Unf,0,321,483,GasA,4,SBrkr,483,504,0,987,0,0,1,1,2,1,4,5,Typ,0,0,Detchd,1972.0,Unf,1,264,3,3,Y,250,0,0,0,0,0,0,5,2009,WD,Normal,118000
364,365,60,RL,,18800,IR1,Lvl,FR2,Gtl,Norm,Norm,1Fam,2Story,6,5,1976,1976,Gable,CompShg,HdBoard,BrkFace,120.0,3,3,PConc,4,3,Mn,GLQ,712,Unf,0,84,796,GasA,3,SBrkr,790,784,0,1574,1,0,2,1,3,1,3,6,Typ,1,3,Attchd,1976.0,Fin,2,566,3,3,Y,306,111,0,0,0,0,0,7,2006,WD,Normal,190000
365,366,70,RM,59.0,10690,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,2Story,5,7,1920,1997,Hip,CompShg,VinylSd,None,0.0,3,4,CBlock,3,2,No,Rec,456,Unf,0,216,672,GasA,4,FuseA,672,672,0,1344,0,0,1,0,3,1,3,6,Typ,0,0,Detchd,1964.0,Unf,1,468,3,2,Y,0,128,218,0,0,0,0,7,2009,WD,Normal,147000
366,367,20,RL,,9500,IR1,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,BrkFace,247.0,3,3,CBlock,4,3,No,BLQ,609,Unf,0,785,1394,GasA,4,SBrkr,1394,0,0,1394,1,0,1,1,3,1,3,6,Typ,2,4,Attchd,1963.0,RFn,2,514,3,3,Y,0,76,0,0,185,0,0,7,2009,WD,Normal,159000
367,368,80,RL,101.0,9150,IR1,Lvl,Corner,Gtl,Norm,Norm,1Fam,SLvl,6,5,1962,1962,Gable,Tar&Grv,Plywood,BrkFace,305.0,3,3,CBlock,4,3,Gd,GLQ,371,Unf,0,728,1099,GasA,4,SBrkr,1431,0,0,1431,0,1,1,0,3,1,3,6,Typ,1,4,Basment,1962.0,RFn,1,296,3,3,Y,64,110,0,0,0,0,0,12,2008,WD,Normal,165000
368,369,20,RL,78.0,7800,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,1954,1954,Gable,CompShg,HdBoard,BrkFace,200.0,3,3,PConc,3,3,No,LwQ,540,Unf,0,728,1268,GasA,4,SBrkr,1268,0,0,1268,0,0,1,0,2,1,3,7,Typ,1,4,Attchd,1954.0,Fin,1,244,3,3,Y,0,98,0,0,0,0,0,3,2010,WD,Normal,132000
369,370,20,RL,,9830,IR1,Lvl,Corner,Gtl,Norm,Norm,1Fam,1Story,5,7,1959,2006,Gable,CompShg,Wd Sdng,None,0.0,3,4,CBlock,3,3,No,ALQ,72,Rec,258,733,1063,GasA,5,SBrkr,1287,0,0,1287,1,0,1,0,3,1,4,7,Typ,1,4,Detchd,1997.0,Fin,2,576,3,3,Y,364,17,0,0,182,0,0,3,2010,WD,Normal,162000
370,371,60,RL,,8121,IR1,Lvl,Inside,Gtl,Norm,Norm,1Fam,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,None,0.0,3,3,PConc,4,3,No,Unf,0,Unf,0,953,953,GasA,5,SBrkr,953,711,0,1664,0,0,2,1,3,1,3,7,Typ,1,3,Attchd,2000.0,RFn,2,460,3,3,Y,100,40,0,0,0,0,0,1,2006,WD,Normal,172400
371,372,50,RL,80.0,17120,Reg,Lvl,Inside,Gtl,Feedr,Norm,1Fam,1.5Fin,4,4,1959,1959,Gable,CompShg,WdShing,None,0.0,3,3,CBlock,0,0,NA,NA,0,NA,0,0,0,GasA,3,SBrkr,1120,468,0,1588,0,0,2,0,4,1,3,7,Min2,1,4,Detchd,1991.0,Fin,2,680,3,3,N,0,59,0,0,0,0,0,7,2008,WD,Normal,134432
372,373,120,RL,50.0,7175,Reg,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,1Story,6,5,1984,1984,Gable,CompShg,Plywood,None,0.0,3,3,CBlock,4,3,No,ALQ,623,LwQ,121,0,744,GasA,3,SBrkr,752,0,0,752,1,0,1,0,2,1,3,4,Typ,0,0,Attchd,1984.0,Unf,1,264,3,3,Y,353,0,0,0,90,0,0,2,2010,WD,Normal,125000
373,374,20,RL,79.0,10634,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,1953,1953,Gable,CompShg,MetalSd,None,0.0,3,3,PConc,3,3,No,BLQ,428,LwQ,180,0,608,GasA,3,SBrkr,1319,0,0,1319,1,0,1,0,3,1,3,5,Min2,0,0,Attchd,1953.0,Unf,1,270,3,3,Y,66,0,0,0,0,0,0,11,2009,WD,Normal,123000
374,375,60,RL,65.0,8200,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,None,0.0,4,3,PConc,4,3,No,Unf,0,Unf,0,847,847,GasA,5,SBrkr,847,1081,0,1928,0,0,2,1,4,1,4,8,Typ,1,4,BuiltIn,2003.0,Fin,2,434,3,3,Y,100,48,0,0,0,0,0,7,2007,WD,Normal,219500
